Date,Open,High,Low,Close,Volume,Market Cap
Jul-20-2016,585.9031534921301,586.3731539938161,581.2647590279263,585.4014675633642,72229564.45202157,9206403517.035873
Jul-19-2016,592.2217557423236,592.2789655412179,583.8568029932167,586.0184532406711,64730704.797339916,9280965358.99387
Jul-18-2016,592.434752224361,592.5852580029908,587.6168070067041,592.2657632799346,54927544.38004532,9306877791.546818
Jul-17-2016,598.0263499532199,599.8711459298748,588.4907967036594,592.689995942505,59898192.16791008,9404231173.269957
Jul-16-2016,581.5745720927081,600.5840680391738,581.5745720927081,597.4815366375954,44682926.35085883,9309006927.914751
Jul-15-2016,583.7643871642335,586.5852703251013,580.3133160647756,582.8455097789149,53321838.44184023,9206319459.724184
Jul-14-2016,579.2078467199862,587.1283233392215,579.2078467199862,584.2863165603004,67391023.70676272,9217480784.845802
Jul-13-2016,576.0305025044689,583.4536939486995,574.6706695922878,578.9517228510899,98694602.57819626,9108699408.802416
Jul-12-2016,584.9050625391118,588.556808010076,577.0902040101429,577.0902040101429,117494056.04858667,9203784856.503597
Jul-11-2016,570.0375560325973,594.3297167938924,569.2630233706429,584.9015419361028,90065873.08901446,9125710937.667295
Jul-10-2016,571.5346924621249,580.5729605366807,567.6796321673977,570.0542788968894,89079226.98999885,9002609494.444656
Jul-09-2016,572.9429336656783,574.1170547691409,564.408991972145,571.8577077881899,129086399.36292733,8970026287.93226
Jul-08-2016,586.6407198224912,586.6407198224912,557.486606305928,572.8998062788194,136313473.4860244,9042546446.101248
Jul-07-2016,563.791126144086,586.8026675608999,560.1869088137416,586.8026675608999,181443804.91712844,8982476104.656258
Jul-06-2016,596.153389152494,600.6430381395726,538.5061553342856,563.0033912208484,166556299.42963296,8934012329.437214
Jul-05-2016,590.2528585096055,600.1730376378866,590.0689070023914,595.89022407758,117335311.08097084,9365200475.042906
Jul-04-2016,601.7256235648042,601.7256235648042,585.3583401765054,590.1806861479233,90394058.91740789,9335577779.336739
Jul-03-2016,579.7236150607876,601.4501363793592,572.5451055256744,601.4501363793592,94094091.26928593,9306274629.525805
Jul-02-2016,619.3638446393098,620.4781154916213,571.2257595480954,578.5600557663516,105879487.39971294,9382752198.458374
Jul-01-2016,595.2424331239455,618.9994622278904,595.2424331239455,618.9994622278904,98965174.86664942,9528061031.431759
Jun-30-2016,592.638067048124,603.9189592393385,589.3436627825614,594.9502230742082,125437477.70895976,9361376064.75155
Jun-29-2016,563.1996648385935,594.4564585022123,560.3110100698048,593.255932876183,114939024.25607458,9069020273.741123
Jun-28-2016,566.9244628219922,567.4173472432358,552.9846352083184,563.0702826780172,127319915.22964498,8761991806.889772
Jun-27-2016,576.7407841615112,580.2376231000846,561.3363856961421,569.5569937218847,105976054.91201866,9018378796.351185
Jun-26-2016,553.9378384729736,572.3778768827525,546.1546653710848,571.3366585428752,103409223.59848462,8847622274.78167
Jun-25-2016,585.408508769382,586.1627979640353,542.994924170612,554.548663095015,93034729.59959693,8895510487.159092
Jun-24-2016,585.5634153017729,608.8275599844741,569.0693902051543,585.599501482614,134347155.37101585,9305451632.668167
Jun-23-2016,549.1938259185033,600.0225318592568,549.1938259185033,587.0121434399284,223755695.431069,9091351838.190746
Jun-22-2016,524.6719458108785,553.9026324428849,491.24646069378764,549.0934887327502,243814334.1302609,8208065894.566404
Jun-21-2016,586.7542592695277,597.3319110097177,517.0736043669559,517.723155622095,255084438.45843795,9007866749.860302
Jun-20-2016,648.8700184567613,648.8700184567613,562.4779412217725,586.0923859038576,199043060.98437428,9450528988.352842
Jun-19-2016,672.2424216819857,672.5091073599085,644.9102202225197,648.9527526274701,125386377.01198795,10370797420.132387
Jun-18-2016,665.5937628997094,674.7420498182929,656.2650450769208,671.8921216826018,191428736.24727777,10449205263.514227
Jun-17-2016,659.1528196949573,684.7484837202916,645.9681614266891,665.819081492278,245488068.93860805,10374531440.748394
Jun-16-2016,674.4665626328477,682.430166638942,630.6773024083566,659.5436066289434,265222152.2502374,10375326945.949553
Jun-15-2016,611.2374127440548,680.9920003098131,611.2374127440548,674.3274988139968,173984285.40819567,10243917946.798162
Jun-14-2016,603.3952695417671,612.8516092236279,591.9550700644006,610.871270031131,125099274.02804576,9444378437.954954
Jun-13-2016,619.9570662463067,620.069725542591,583.3674391749819,603.6276293403535,183823732.55113357,9487682451.515566
Jun-12-2016,592.1513436821459,630.1914591931306,584.8487328909696,619.8848938846245,217263743.21171507,9491814352.550947
Jun-11-2016,534.0112254426938,602.7659617539292,534.0112254426938,591.7121484567876,150682170.61996156,8869671349.056866
Jun-10-2016,508.26065488496874,534.3536040853077,508.26065488496874,534.3536040853077,50248985.600957565,8043855230.424565
Jun-09-2016,505.7610267486615,509.7190646813986,504.61243001701337,508.34690965868634,53564488.60894228,7947191533.238956
Jun-08-2016,511.9352842754907,512.4264083952299,502.5229521312411,505.7768694622015,60201374.45808385,7953102568.926211
Jun-07-2016,507.4922832782799,512.9861842736424,504.44080062033026,512.0708274913327,80305068.71488726,7949587824.61602
Jun-06-2016,515.3608310031342,519.5169028551211,499.497873995858,507.43683378088997,71697949.73038538,7998709696.584596
Jun-05-2016,506.0664390596821,516.1820116549562,505.7363825275993,515.3150631640187,62094153.31991396,8004646591.749356
Jun-04-2016,504.0860998671852,512.9588996003235,500.96244484755346,506.12100840631985,70429133.8798287,7933540349.486284
Jun-03-2016,500.976527259589,519.4051237095889,496.6145001315826,504.48480815794125,101386336.1833688,7891640281.895387
Jun-02-2016,473.49646047374995,505.7680679546793,472.5705418824136,500.8920327873758,72597577.48529391,7605057601.259739
Jun-01-2016,472.5705418824136,475.59121926403554,469.1890026923811,473.53606725759994,62216337.80322782,7366980217.549649
May-31-2016,467.69978761962346,477.99227051609404,462.6389207943536,473.39700343874904,108759757.4026068,7329878354.25058
May-30-2016,469.8808011836268,481.1062438774514,458.26105095280724,467.7411547049779,86568015.09184717,7376268449.729096
May-29-2016,463.16437079342944,479.1091818206623,460.2862778336673,470.61308660947446,112673475.87961534,7382758270.716946
May-28-2016,466.5151047071342,487.56831070025675,450.7947321217178,462.58963235222933,135877068.0242112,7200368939.404162
May-27-2016,416.719695749488,469.53666223950836,416.04638042403906,467.028232595679,130630533.28275809,6841312939.192769
May-26-2016,399.04626864489353,420.8432020236426,399.04626864489353,416.95381584957875,117298356.05686986,6482878455.952582
May-25-2016,395.7148980477376,399.2751078404709,394.21600131670556,399.0392274388757,54922311.232356764,6192916219.857998
May-24-2016,392.5305126262026,396.33012342354,392.5305126262026,395.66120885185217,57719780.93397384,6153985338.207066
May-23-2016,390.9233573526473,393.51540131793774,390.7253234333977,392.57892091757475,47639890.42709902,6112745886.8454
May-22-2016,386.67046891791625,391.09058599556937,386.2303935418058,391.03337619667496,38788945.93732681,6060172731.568395
May-21-2016,390.0722515752498,390.2826076050306,386.41698550127666,386.77520685743053,30859270.52029916,6056049140.36475
May-20-2016,389.6216143901127,390.5915405190601,388.76786816045853,390.10921790684307,53182985.92050442,6072550972.715403
May-19-2016,386.13533726056596,390.83446212667303,384.96825736312115,389.41917971710194,87507348.34195735,6043470132.818404
May-18-2016,400.13325482388626,400.1455769344173,386.9389148973436,386.9389148973436,71661195.79628266,6165624374.969566
May-17-2016,399.3974487950296,401.3469827111988,398.9714558309547,400.1948653765417,66795090.52202578,6225906713.3320055
May-16-2016,399.73190608087356,400.5319631146423,399.2407819611343,399.42385331759624,57392553.94663998,6216760763.495486
May-15-2016,402.72881939218547,403.2850746675891,398.65988246466856,399.85424703543225,31590825.848873615,6248474680.738079
